,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,1,0,3,103,1,22.0,1,0,408,7.25,134,2
1,2,1,1,179,0,38.0,1,0,471,71.2833,73,0
2,3,1,3,317,0,26.0,0,0,532,7.925,134,2
3,4,1,1,247,0,35.0,1,0,40,53.1,49,2
4,5,0,3,15,1,35.0,0,0,373,8.05,134,2
6,7,0,1,441,1,54.0,0,0,70,51.8625,118,2
7,8,0,3,510,1,2.0,3,1,321,21.075,134,2
8,9,1,3,369,0,27.0,0,2,285,11.1333,134,2
9,10,1,2,474,0,14.0,1,0,113,30.0708,134,0
10,11,1,3,583,0,4.0,1,1,488,16.7,132,2
11,12,1,1,94,0,58.0,0,0,30,26.55,44,2
12,13,0,3,585,1,20.0,0,0,418,8.05,134,2
13,14,0,3,28,1,39.0,1,5,274,31.275,134,2
14,15,0,3,675,0,14.0,0,0,339,7.8542,134,2
15,16,1,2,322,0,55.0,0,0,129,16.0,134,2
16,17,0,3,555,1,2.0,4,1,377,29.125,134,1
18,19,0,3,674,0,31.0,1,0,243,18.0,134,2
20,21,0,2,248,1,35.0,0,0,116,26.0,134,2
21,22,1,2,79,1,34.0,0,0,128,13.0,100,2
22,23,1,3,443,0,15.0,0,0,230,8.0292,134,1
23,24,1,1,613,1,28.0,0,0,34,35.5,10,2
24,25,0,3,512,0,8.0,3,1,321,21.075,134,2
25,26,1,3,44,0,38.0,1,5,270,31.3875,134,2
27,28,0,1,238,1,19.0,3,2,78,263.0,56,2
30,31,0,1,663,1,40.0,0,0,472,27.7208,134,0
33,34,0,2,689,1,66.0,0,0,430,10.5,134,2
34,35,0,1,451,1,28.0,1,0,474,82.1708,134,0
35,36,0,1,335,1,42.0,1,0,35,52.0,134,2
37,38,0,3,126,1,21.0,0,0,401,8.05,134,2
38,39,0,3,672,0,18.0,2,0,244,18.0,134,2
39,40,1,3,486,0,14.0,1,0,155,11.2417,134,0
40,41,0,3,7,0,40.0,1,0,395,9.475,134,2
41,42,0,2,662,0,27.0,1,0,44,21.0,134,2
43,44,1,2,395,0,3.0,1,2,502,41.5792,134,0
44,45,1,3,198,0,19.0,0,0,231,7.8792,134,1
49,50,0,3,38,0,18.0,1,0,305,17.8,134,2
50,51,0,3,515,1,7.0,4,1,208,39.6875,134,2
51,52,0,3,491,1,21.0,0,0,407,7.8,134,2
52,53,1,1,301,0,49.0,1,0,463,76.7292,91,0
53,54,1,2,228,0,29.0,1,0,198,26.0,134,2
54,55,0,1,507,1,65.0,0,1,23,61.9792,19,0
56,57,1,2,575,0,21.0,0,0,436,10.5,134,2
57,58,0,3,492,1,28.5,0,0,175,7.2292,134,0
58,59,1,2,686,0,5.0,1,2,442,27.75,134,2
59,60,0,3,270,1,11.0,5,2,446,46.9,134,2
60,61,0,3,600,1,22.0,0,0,162,7.2292,134,0
61,62,1,1,346,0,38.0,0,0,25,80.0,17,3
62,63,0,1,304,1,45.0,1,0,367,83.475,72,2
63,64,0,3,605,1,4.0,3,2,278,27.9,134,2
66,67,1,2,493,0,29.0,0,0,434,10.5,130,2
67,68,0,3,174,1,19.0,0,0,493,8.1583,134,2
68,69,1,3,25,0,17.0,4,2,207,7.925,134,2
69,70,0,3,386,1,26.0,2,0,226,8.6625,134,2
70,71,0,2,355,1,32.0,0,0,438,10.5,134,2
71,72,0,3,271,0,16.0,5,2,446,46.9,134,2
72,73,0,2,339,1,21.0,0,0,491,73.5,134,2
73,74,0,3,151,1,26.0,1,0,166,14.4542,134,0
74,75,1,3,86,1,32.0,0,0,66,56.4958,134,2
75,76,0,3,459,1,25.0,0,0,288,7.65,128,2
78,79,1,2,120,1,0.83,0,2,134,29.0,134,2
79,80,1,3,208,0,30.0,0,0,354,12.475,134,2
80,81,0,3,677,1,22.0,0,0,246,9.0,134,2
81,82,1,3,591,1,29.0,0,0,252,9.5,134,2
83,84,0,1,132,1,28.0,0,0,19,47.1,134,2
84,85,1,2,347,0,17.0,0,0,505,10.5,134,2
85,86,1,3,52,0,33.0,3,0,206,15.85,134,2
86,87,0,3,233,1,16.0,1,3,538,34.375,134,2
